id,tabla,idEstado,idAct,fInicio,ffin,tiempo,usuario
34,2,2,445,2021-06-21 16:42:09.813000,,0,DESPACHO
35,2,2,440,2021-06-21 16:42:10.447000,,0,DESPACHO
36,2,2,439,2021-06-21 16:42:11.070000,,0,DESPACHO
37,2,2,441,2021-06-21 16:42:11.830000,,0,DESPACHO
38,2,2,430,2021-06-21 16:42:12.690000,,0,DESPACHO
39,2,2,426,2021-06-21 16:42:13.537000,,0,DESPACHO
40,2,2,438,2021-06-21 16:42:14.280000,,0,DESPACHO
41,2,2,425,2021-06-21 16:42:15.013000,,0,DESPACHO
42,2,2,416,2021-06-21 16:42:15.727000,,0,DESPACHO
43,2,2,101,2021-06-21 16:42:17.290000,,0,DESPACHO
44,2,2,414,2021-06-21 16:42:18.187000,,0,DESPACHO
45,2,2,402,2021-06-21 16:42:18.967000,,0,DESPACHO
46,2,2,428,2021-06-21 16:42:19.700000,,0,DESPACHO
47,2,2,96,2021-06-21 16:42:20.440000,,0,DESPACHO
48,2,2,404,2021-06-21 16:42:21.397000,,0,DESPACHO
49,2,2,398,2021-06-21 16:42:22.137000,,0,DESPACHO
50,2,2,400,2021-06-21 16:42:22.890000,,0,DESPACHO
51,2,2,390,2021-06-21 16:42:23.680000,,0,DESPACHO
52,2,2,391,2021-06-21 16:42:24.350000,,0,DESPACHO
53,2,2,389,2021-06-21 16:42:24.993000,,0,DESPACHO
54,2,2,388,2021-06-21 16:42:25.830000,,0,DESPACHO
55,2,2,385,2021-06-21 16:42:26.557000,,0,DESPACHO
56,2,2,94,2021-06-21 16:42:27.510000,,0,DESPACHO
57,2,2,384,2021-06-21 16:42:28.273000,,0,DESPACHO
58,2,2,377,2021-06-21 16:42:29.040000,,0,DESPACHO
59,2,2,376,2021-06-21 16:42:30.033000,,0,DESPACHO
60,2,2,374,2021-06-21 16:42:30.763000,,0,DESPACHO
61,2,2,368,2021-06-21 16:42:31.497000,,0,DESPACHO
62,2,2,367,2021-06-21 16:42:32.233000,,0,DESPACHO
63,2,2,511,2021-06-21 16:42:33.347000,,0,DESPACHO
64,2,2,369,2021-06-21 16:42:34.050000,,0,DESPACHO
65,2,2,366,2021-06-21 16:42:34.823000,,0,DESPACHO
66,2,2,401,2021-06-21 16:42:35.577000,,0,DESPACHO
67,2,2,353,2021-06-21 16:42:36.297000,2021-06-21 19:05:29.100000,8572,DESPACHO
68,2,2,1342,2021-06-21 16:42:36.970000,,0,DESPACHO
69,2,2,350,2021-06-21 16:42:37.793000,,0,DESPACHO
70,2,2,349,2021-06-21 16:42:38.663000,,0,DESPACHO
71,2,2,344,2021-06-21 16:42:39.680000,,0,DESPACHO
72,2,2,346,2021-06-21 16:42:40.467000,,0,DESPACHO
73,2,2,338,2021-06-21 16:42:41.267000,,0,DESPACHO
74,2,2,100,2021-06-21 16:42:42.740000,,0,DESPACHO
75,2,2,328,2021-06-21 16:42:43.693000,,0,DESPACHO
76,2,2,326,2021-06-21 16:42:45.127000,,0,DESPACHO
77,2,1,1368,2021-06-21 16:44:23.840000,,0,DESPACHO
78,2,1,1366,2021-06-21 16:44:24.567000,,0,DESPACHO
79,2,1,1364,2021-06-21 16:44:25.490000,,0,DESPACHO
80,2,1,25,2021-06-21 16:44:26.357000,,0,DESPACHO
81,2,1,1361,2021-06-21 16:44:27.040000,,0,DESPACHO
82,2,1,234,2021-06-21 16:44:32.627000,,0,DESPACHO
83,2,1,509,2021-06-21 16:44:33.480000,,0,DESPACHO
84,2,1,1336,2021-06-21 16:44:35.597000,,0,DESPACHO
85,2,1,24,2021-06-21 16:44:36.300000,,0,DESPACHO
86,2,5,1345,2021-06-21 19:05:20.850000,,0,DESPACHO
87,2,5,353,2021-06-21 19:05:29.100000,,0,DESPACHO
88,2,5,1417,2021-10-18 09:30:36.143000,,0,DESPACHO
89,2,3,1422,2021-11-19 16:04:34.860000,,0,DESPACHO
90,2,5,1441,2021-12-24 09:46:29.170000,,0,CRISTINA RODRIGUEZ
91,2,5,1442,2021-12-24 09:47:39.547000,,0,CRISTINA RODRIGUEZ
92,2,5,1443,2021-12-24 09:48:19.997000,,0,LUZ PÉREZ
93,2,5,1444,2021-12-24 09:50:54.690000,,0,JUAN CARLOS
94,2,5,1445,2021-12-24 09:52:04.403000,,0,JUAN CARLOS
95,2,5,1446,2021-12-24 09:52:46.137000,,0,LUZ PÉREZ
96,2,5,1447,2021-12-24 09:53:48.930000,,0,ALEJANDRA GARCÍA
97,2,5,1448,2021-12-24 09:55:53.307000,,0,LUZ PÉREZ
98,2,5,1449,2021-12-24 09:56:58.337000,,0,CRISTINA RODRIGUEZ
99,2,5,1450,2021-12-24 10:03:10.170000,,0,CRISTINA RODRIGUEZ
100,2,5,1451,2021-12-24 10:06:05.950000,,0,LUZ PÉREZ
101,2,5,1452,2021-12-24 10:07:41.930000,,0,DESPACHO
102,2,4,1465,2022-06-09 13:27:32.190000,,0,DESPACHO
103,2,4,193,2022-09-21 12:59:25.387000,2022-09-21 12:59:30.267000,4,DESPACHO
104,2,5,193,2022-09-21 12:59:30.267000,,0,DESPACHO
105,2,5,1473,2022-10-24 10:12:56.763000,,0,JUAN CARLOS
106,2,5,1479,2022-10-24 17:12:06.333000,,0,DESPACHO
107,2,2,1488,2022-10-25 14:23:17.087000,2022-10-26 12:22:35.703000,79158,DESPACHO
108,2,5,1488,2022-10-26 12:22:35.703000,,0,DESPACHO
109,2,2,2052,2023-04-12 18:55:01.137000,,0,DESPACHO
110,2,2,1530,2023-04-12 18:55:21.173000,,0,DESPACHO
111,2,1,1536,2023-04-12 18:55:27.040000,,0,DESPACHO
112,2,6,1535,2023-04-12 18:55:36.253000,,0,DESPACHO
113,2,2,2054,2023-04-12 18:56:56.877000,,0,DESPACHO
114,2,2,2059,2023-04-13 10:00:37.053000,,0,DESPACHO
115,2,5,2065,2023-04-13 10:03:52.797000,,0,DESPACHO
116,2,5,2049,2023-04-13 10:03:59.947000,,0,DESPACHO
117,2,5,1875,2023-04-13 10:04:04.930000,,0,DESPACHO
